row_id,level,stage,exercise_id,subtype,type,role,field,target_path,text
1,1,1,L1-QS-1,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-1/narration_question.mp3,¿Dónde descansa el búho?
2,1,1,L1-QS-1,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-1/narration_sentence.mp3,El búho duerme en el árbol.
3,1,1,L1-QS-1,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-1/response_correct.mp3,En el árbol.
4,1,1,L1-QS-1,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-1/response_options[0].mp3,En el árbol.
5,1,1,L1-QS-1,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-1/response_options[1].mp3,En el lago brillante
6,1,1,L1-QS-1,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-1/hint_hint.mp3,Lee la frase completa y busca el lugar mencionado.
7,1,1,L1-QS-2,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-2/narration_question.mp3,¿Qué hace la luciérnaga?
8,1,1,L1-QS-2,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-2/narration_sentence.mp3,La luciérnaga ilumina la noche.
9,1,1,L1-QS-2,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-2/response_correct.mp3,Ilumina la noche
10,1,1,L1-QS-2,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-2/response_options[0].mp3,Canta la noche
11,1,1,L1-QS-2,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-2/response_options[1].mp3,Ilumina la noche
12,1,1,L1-QS-2,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-2/hint_hint.mp3,Piensa en lo que hace una luciérnaga.
13,1,1,L1-QS-3,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-3/narration_question.mp3,¿Qué encuentra el oso perezoso?
14,1,1,L1-QS-3,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-3/narration_sentence.mp3,El oso perezoso encuentra una flor azul.
15,1,1,L1-QS-3,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-3/response_correct.mp3,Una flor azul
16,1,1,L1-QS-3,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-3/response_options[0].mp3,Una flor azul
17,1,1,L1-QS-3,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-3/response_options[1].mp3,Una luna roja
18,1,1,L1-QS-3,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-3/hint_hint.mp3,Observa el objeto final de la frase.
19,1,1,L1-QS-4,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-4/narration_question.mp3,¿Quién abraza al perro?
20,1,1,L1-QS-4,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-4/narration_sentence.mp3,El niño abraza al perro alegre.
21,1,1,L1-QS-4,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-4/response_correct.mp3,El niño
22,1,1,L1-QS-4,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-4/response_options[0].mp3,El gato
23,1,1,L1-QS-4,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-4/response_options[1].mp3,El niño
24,1,1,L1-QS-4,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-4/hint_hint.mp3,Lee el sujeto del verbo 'abraza'.
25,1,2,L1-CS-1,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-1/narration_prompt.mp3,El hada ____ la puerta secreta.
26,1,2,L1-CS-1,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-1/response_correct.mp3,abre
27,1,2,L1-CS-1,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-1/response_options[0].mp3,abre
28,1,2,L1-CS-1,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-1/response_options[1].mp3,baila
29,1,2,L1-CS-1,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-1/hint_hint.mp3,Piensa en lo que se hace con una puerta.
30,1,2,L1-CS-2,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-2/narration_prompt.mp3,La nube ____ gotas.
31,1,2,L1-CS-2,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-2/response_correct.mp3,deja
32,1,2,L1-CS-2,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-2/response_options[0].mp3,deja
33,1,2,L1-CS-2,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-2/response_options[1].mp3,cocina
34,1,2,L1-CS-2,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-2/hint_hint.mp3,Las nubes dejan algo que cae del cielo.
35,1,2,L1-CS-3,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-3/narration_prompt.mp3,El oso ____ con calma.
36,1,2,L1-CS-3,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-3/response_correct.mp3,camina
37,1,2,L1-CS-3,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-3/response_options[0].mp3,camina
38,1,2,L1-CS-3,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-3/response_options[1].mp3,pinta
39,1,2,L1-CS-3,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-3/hint_hint.mp3,Recuerda que es un oso tranquilo.
40,1,2,L1-CS-4,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-4/narration_prompt.mp3,La hoja ____ al viento.
41,1,2,L1-CS-4,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-4/response_correct.mp3,flota
42,1,2,L1-CS-4,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-4/response_options[0].mp3,flota
43,1,2,L1-CS-4,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-4/response_options[1].mp3,canta
44,1,2,L1-CS-4,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-4/hint_hint.mp3,¿Qué hace una hoja en el aire?
45,1,2,L1-CS-5,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-5/narration_prompt.mp3,El río ____ un canto suave.
46,1,2,L1-CS-5,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-5/response_correct.mp3,susurra
47,1,2,L1-CS-5,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-5/response_options[0].mp3,susurra
48,1,2,L1-CS-5,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-5/response_options[1].mp3,corre
49,1,2,L1-CS-5,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-5/hint_hint.mp3,Piensa en un sonido tranquilo de agua.
50,1,2,L1-CS-6,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-6/narration_prompt.mp3,La luna ____ la noche.
51,1,2,L1-CS-6,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-6/response_correct.mp3,ilumina
52,1,2,L1-CS-6,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-6/response_options[0].mp3,ilumina
53,1,2,L1-CS-6,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-6/response_options[1].mp3,bebe
54,1,2,L1-CS-6,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-6/hint_hint.mp3,Busca la acción que da luz.
55,1,2,L1-CS-7,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-7/narration_prompt.mp3,El colibrí ____ flores mágicas.
56,1,2,L1-CS-7,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-7/response_correct.mp3,visita
57,1,2,L1-CS-7,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-7/response_options[0].mp3,visita
58,1,2,L1-CS-7,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-7/response_options[1].mp3,baila
59,1,2,L1-CS-7,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-7/hint_hint.mp3,¿Qué hace un colibrí con las flores?
60,1,2,L1-CS-8,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-8/narration_prompt.mp3,La campana ____ el recreo.
61,1,2,L1-CS-8,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-8/response_correct.mp3,anuncia
62,1,2,L1-CS-8,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-8/response_options[0].mp3,anuncia
63,1,2,L1-CS-8,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-8/response_options[1].mp3,rompe
64,1,2,L1-CS-8,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-8/hint_hint.mp3,Recuerda qué hace la campana en la escuela.
65,1,3,L1-OS-1,order_sentence,order_sentence,narration,correctOrder[0],public/audio/exercises/L1/L1-OS-1/narration_correctOrder[0].mp3,La
66,1,3,L1-OS-1,order_sentence,order_sentence,narration,correctOrder[1],public/audio/exercises/L1/L1-OS-1/narration_correctOrder[1].mp3,estrella
67,1,3,L1-OS-1,order_sentence,order_sentence,narration,correctOrder[2],public/audio/exercises/L1/L1-OS-1/narration_correctOrder[2].mp3,brilla
68,1,3,L1-OS-1,order_sentence,order_sentence,hint,hint,public/audio/exercises/L1/L1-OS-1/hint_hint.mp3,Comienza con el artículo.
69,1,3,L1-OS-2,order_sentence,order_sentence,narration,correctOrder[0],public/audio/exercises/L1/L1-OS-2/narration_correctOrder[0].mp3,El
70,1,3,L1-OS-2,order_sentence,order_sentence,narration,correctOrder[1],public/audio/exercises/L1/L1-OS-2/narration_correctOrder[1].mp3,cuento
71,1,3,L1-OS-2,order_sentence,order_sentence,narration,correctOrder[2],public/audio/exercises/L1/L1-OS-2/narration_correctOrder[2].mp3,termina
72,1,3,L1-OS-2,order_sentence,order_sentence,narration,correctOrder[3],public/audio/exercises/L1/L1-OS-2/narration_correctOrder[3].mp3,feliz
73,1,3,L1-OS-2,order_sentence,order_sentence,hint,hint,public/audio/exercises/L1/L1-OS-2/hint_hint.mp3,Coloca 'El' al inicio.
74,1,3,L1-OS-3,order_sentence,order_sentence,narration,correctOrder[0],public/audio/exercises/L1/L1-OS-3/narration_correctOrder[0].mp3,La
75,1,3,L1-OS-3,order_sentence,order_sentence,narration,correctOrder[1],public/audio/exercises/L1/L1-OS-3/narration_correctOrder[1].mp3,niña
76,1,3,L1-OS-3,order_sentence,order_sentence,narration,correctOrder[2],public/audio/exercises/L1/L1-OS-3/narration_correctOrder[2].mp3,abre
77,1,3,L1-OS-3,order_sentence,order_sentence,narration,correctOrder[3],public/audio/exercises/L1/L1-OS-3/narration_correctOrder[3].mp3,el
78,1,3,L1-OS-3,order_sentence,order_sentence,narration,correctOrder[4],public/audio/exercises/L1/L1-OS-3/narration_correctOrder[4].mp3,cofre
79,1,3,L1-OS-3,order_sentence,order_sentence,hint,hint,public/audio/exercises/L1/L1-OS-3/hint_hint.mp3,"Sujeto primero, luego acción."
80,1,3,L1-OS-4,order_sentence,order_sentence,narration,correctOrder[0],public/audio/exercises/L1/L1-OS-4/narration_correctOrder[0].mp3,El
81,1,3,L1-OS-4,order_sentence,order_sentence,narration,correctOrder[1],public/audio/exercises/L1/L1-OS-4/narration_correctOrder[1].mp3,viento
82,1,3,L1-OS-4,order_sentence,order_sentence,narration,correctOrder[2],public/audio/exercises/L1/L1-OS-4/narration_correctOrder[2].mp3,sopla
83,1,3,L1-OS-4,order_sentence,order_sentence,narration,correctOrder[3],public/audio/exercises/L1/L1-OS-4/narration_correctOrder[3].mp3,suave
84,1,3,L1-OS-4,order_sentence,order_sentence,hint,hint,public/audio/exercises/L1/L1-OS-4/hint_hint.mp3,Respeta el orden natural de sujeto y verbo.
85,1,4,L1-RW-1,read_with_audio,read_with_audio,narration,instruction,public/audio/exercises/L1/L1-RW-1/narration_instruction.mp3,"Lee la frase con ritmo tranquilo. Si quieres, escucha el audio."
86,1,4,L1-RW-1,read_with_audio,read_with_audio,narration,text,public/audio/exercises/L1/L1-RW-1/narration_text.mp3,El faro guía a los barcos perdidos.
87,1,4,L1-RW-1,read_with_audio,read_with_audio,response,correct,public/audio/exercises/L1/L1-RW-1/response_correct.mp3,done
88,1,4,L1-RW-1,read_with_audio,read_with_audio,hint,hint,public/audio/exercises/L1/L1-RW-1/hint_hint.mp3,Respira y lee despacio cada palabra.
89,1,4,L1-RW-2,read_with_audio,read_with_audio,narration,instruction,public/audio/exercises/L1/L1-RW-2/narration_instruction.mp3,Lee en voz alta. Pulsa escuchar si prefieres.
90,1,4,L1-RW-2,read_with_audio,read_with_audio,narration,text,public/audio/exercises/L1/L1-RW-2/narration_text.mp3,La campana anuncia el recreo.
91,1,4,L1-RW-2,read_with_audio,read_with_audio,response,correct,public/audio/exercises/L1/L1-RW-2/response_correct.mp3,done
92,1,4,L1-RW-2,read_with_audio,read_with_audio,hint,hint,public/audio/exercises/L1/L1-RW-2/hint_hint.mp3,Observa las sílabas: cam-pa-na.
93,1,4,L1-RW-3,read_with_audio,read_with_audio,narration,instruction,public/audio/exercises/L1/L1-RW-3/narration_instruction.mp3,Imagina el movimiento mientras lees.
94,1,4,L1-RW-3,read_with_audio,read_with_audio,narration,text,public/audio/exercises/L1/L1-RW-3/narration_text.mp3,Las hojas viajan con el viento.
95,1,4,L1-RW-3,read_with_audio,read_with_audio,response,correct,public/audio/exercises/L1/L1-RW-3/response_correct.mp3,done
96,1,4,L1-RW-3,read_with_audio,read_with_audio,hint,hint,public/audio/exercises/L1/L1-RW-3/hint_hint.mp3,Marca con el dedo cada palabra.
97,1,4,L1-RW-4,read_with_audio,read_with_audio,narration,instruction,public/audio/exercises/L1/L1-RW-4/narration_instruction.mp3,Lee tú mismo y disfruta del ritmo.
98,1,4,L1-RW-4,read_with_audio,read_with_audio,narration,text,public/audio/exercises/L1/L1-RW-4/narration_text.mp3,El río canta para el bosque.
99,1,4,L1-RW-4,read_with_audio,read_with_audio,response,correct,public/audio/exercises/L1/L1-RW-4/response_correct.mp3,done
100,1,4,L1-RW-4,read_with_audio,read_with_audio,hint,hint,public/audio/exercises/L1/L1-RW-4/hint_hint.mp3,Pronuncia lentamente las sílabas.
101,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,narration,prompt,public/audio/exercises/L1/L1-IWM-1/narration_prompt.mp3,Selecciona la palabra que nombra la imagen
102,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,correct,public/audio/exercises/L1/L1-IWM-1/response_correct.mp3,estrella
103,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[0],public/audio/exercises/L1/L1-IWM-1/response_options[0].mp3,estrella
104,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[1],public/audio/exercises/L1/L1-IWM-1/response_options[1].mp3,estela
105,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[2],public/audio/exercises/L1/L1-IWM-1/response_options[2].mp3,estreno
106,1,5,L1-IWM-1,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,hint,hint,public/audio/exercises/L1/L1-IWM-1/hint_hint.mp3,Piensa en lo que brilla en el cielo.
107,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,narration,prompt,public/audio/exercises/L1/L1-IWM-2/narration_prompt.mp3,Selecciona la palabra que nombra la imagen
108,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,correct,public/audio/exercises/L1/L1-IWM-2/response_correct.mp3,campana
109,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[0],public/audio/exercises/L1/L1-IWM-2/response_options[0].mp3,campana
110,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[1],public/audio/exercises/L1/L1-IWM-2/response_options[1].mp3,camino
111,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,response,options[2],public/audio/exercises/L1/L1-IWM-2/response_options[2].mp3,camisa
112,1,5,L1-IWM-2,IMAGE_WORD_MATCH,IMAGE_WORD_MATCH,hint,hint,public/audio/exercises/L1/L1-IWM-2/hint_hint.mp3,Suena para avisar.
113,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,narration,prompt,public/audio/exercises/L1/L1-CCW-1/narration_prompt.mp3,Elige la palabra correcta
114,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,correct,public/audio/exercises/L1/L1-CCW-1/response_correct.mp3,cuento
115,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[0],public/audio/exercises/L1/L1-CCW-1/response_options[0].mp3,cuento
116,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[1],public/audio/exercises/L1/L1-CCW-1/response_options[1].mp3,cuadro
117,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[2],public/audio/exercises/L1/L1-CCW-1/response_options[2].mp3,cuello
118,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,hint,hint,public/audio/exercises/L1/L1-CCW-1/hint_hint.mp3,Historias para dormir.
119,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,narration,prompt,public/audio/exercises/L1/L1-CCW-2/narration_prompt.mp3,Elige la palabra correcta
120,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,correct,public/audio/exercises/L1/L1-CCW-2/response_correct.mp3,faro
121,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[0],public/audio/exercises/L1/L1-CCW-2/response_options[0].mp3,faro
122,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[1],public/audio/exercises/L1/L1-CCW-2/response_options[1].mp3,feria
123,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,response,options[2],public/audio/exercises/L1/L1-CCW-2/response_options[2].mp3,foca
124,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,CHOOSE_CORRECT_WORD,hint,hint,public/audio/exercises/L1/L1-CCW-2/hint_hint.mp3,Guía a los barcos de noche.
125,2,1,L2-MC-1,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-1/narration_question.mp3,Encierra el nombre correcto del dibujo: sol
126,2,1,L2-MC-1,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-1/response_correct.mp3,sol
127,2,1,L2-MC-1,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-1/response_options[0].mp3,sol
128,2,1,L2-MC-1,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-1/response_options[1].mp3,sal
129,2,1,L2-MC-1,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-1/response_options[2].mp3,sul
130,2,1,L2-MC-1,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-1/hint_hint.mp3,Fíjate en la vocal que suena en medio (o).
131,2,1,L2-MC-2,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-2/narration_question.mp3,Encierra el nombre correcto del dibujo: sapo
132,2,1,L2-MC-2,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-2/response_correct.mp3,sapo
133,2,1,L2-MC-2,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-2/response_options[0].mp3,sipo
134,2,1,L2-MC-2,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-2/response_options[1].mp3,supo
135,2,1,L2-MC-2,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-2/response_options[2].mp3,sapo
136,2,1,L2-MC-2,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-2/hint_hint.mp3,Escucha el sonido de la primera y la última sílaba: sa-po.
137,2,1,L2-MC-3,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-3/narration_question.mp3,Encierra el nombre correcto del dibujo: sopa
138,2,1,L2-MC-3,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-3/response_correct.mp3,sopa
139,2,1,L2-MC-3,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-3/response_options[0].mp3,sepa
140,2,1,L2-MC-3,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-3/response_options[1].mp3,sopa
141,2,1,L2-MC-3,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-3/response_options[2].mp3,sipa
142,2,1,L2-MC-3,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-3/hint_hint.mp3,Busca la sílaba central que suena 'o'.
143,2,1,L2-MC-4,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-4/narration_question.mp3,Encierra el nombre correcto del dibujo: mesa
144,2,1,L2-MC-4,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-4/response_correct.mp3,mesa
145,2,1,L2-MC-4,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-4/response_options[0].mp3,mesa
146,2,1,L2-MC-4,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-4/response_options[1].mp3,misa
147,2,1,L2-MC-4,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-4/response_options[2].mp3,masa
148,2,1,L2-MC-4,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-4/hint_hint.mp3,Pon atención al sonido de la primera vocal (e).
149,2,1,L2-MC-5,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-5/narration_question.mp3,Encierra el nombre correcto del dibujo: oso
150,2,1,L2-MC-5,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-5/response_correct.mp3,oso
151,2,1,L2-MC-5,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-5/response_options[0].mp3,osu
152,2,1,L2-MC-5,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-5/response_options[1].mp3,eso
153,2,1,L2-MC-5,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-5/response_options[2].mp3,oso
154,2,1,L2-MC-5,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-5/hint_hint.mp3,Suena igual al decirlo y escribirlo: o-so.
155,2,1,L2-MC-6,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-6/narration_question.mp3,Encierra el nombre correcto del dibujo: pato
156,2,1,L2-MC-6,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-6/response_correct.mp3,pato
157,2,1,L2-MC-6,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-6/response_options[0].mp3,mato
158,2,1,L2-MC-6,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-6/response_options[1].mp3,pato
159,2,1,L2-MC-6,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-6/response_options[2].mp3,gato
160,2,1,L2-MC-6,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-6/hint_hint.mp3,La palabra empieza como 'pa' de pato.
161,2,1,L2-MC-7,multiple_choice,multiple_choice,narration,question,public/audio/exercises/L2/L2-MC-7/narration_question.mp3,Encierra el nombre correcto del dibujo: luna
162,2,1,L2-MC-7,multiple_choice,multiple_choice,response,correct,public/audio/exercises/L2/L2-MC-7/response_correct.mp3,luna
163,2,1,L2-MC-7,multiple_choice,multiple_choice,response,options[0],public/audio/exercises/L2/L2-MC-7/response_options[0].mp3,lupa
164,2,1,L2-MC-7,multiple_choice,multiple_choice,response,options[1],public/audio/exercises/L2/L2-MC-7/response_options[1].mp3,luna
165,2,1,L2-MC-7,multiple_choice,multiple_choice,response,options[2],public/audio/exercises/L2/L2-MC-7/response_options[2].mp3,puma
166,2,1,L2-MC-7,multiple_choice,multiple_choice,hint,hint,public/audio/exercises/L2/L2-MC-7/hint_hint.mp3,Escucha el sonido 'lu-na' al decirlo.
167,2,2,L2-PS-1,pair_synonyms,pair_synonyms,narration,pairs[0].word,public/audio/exercises/L2/L2-PS-1/narration_pairs[0].word.mp3,alegre 😀
168,2,2,L2-PS-1,pair_synonyms,pair_synonyms,response,pairs[0].match,public/audio/exercises/L2/L2-PS-1/response_pairs[0].match.mp3,contento 😊
169,2,2,L2-PS-1,pair_synonyms,pair_synonyms,narration,pairs[1].word,public/audio/exercises/L2/L2-PS-1/narration_pairs[1].word.mp3,valiente 🦁
170,2,2,L2-PS-1,pair_synonyms,pair_synonyms,response,pairs[1].match,public/audio/exercises/L2/L2-PS-1/response_pairs[1].match.mp3,audaz 🦊
171,2,2,L2-PS-1,pair_synonyms,pair_synonyms,narration,pairs[2].word,public/audio/exercises/L2/L2-PS-1/narration_pairs[2].word.mp3,rápido 🏃‍♂️💨
